Num,Brand,Model_Name,Processor,Operating_System,Storage_MB,RAM_GB,Screen_Size,Touch_Screen,Price
68,DELL,New Inspiron 15 Laptop,Core i5,Windows 11 Home,1000,8,39.62,No,599.88
69,Lenovo,16IAH8,Core i5,Windows 11 Home,512,16,40.64,No,734.27
70,Apple,MacBook Pro,M2,Mac OS Monterey,256,8,33.78,No,1199.88
71,SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512,8,39.62,No,839.88
72,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
73,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
74,Lenovo,15ACH6,Ryzen 5 Hexa Core,Windows 11 Home,512,8,100.63,No,551.88
75,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,485.88
76,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
77,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.98
78,Acer,A315-510P,Core i3,Windows 11 Home,256,8,39.62,No,359.75
79,Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,512,8,39.62,No,311.88
80,ASUS,X1502ZA-EJ515WS,Core i5,Windows 11 Home,1000,8,39.62,No,575.88
81,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
82,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
83,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
84,ASUS,TN3402QA-LZ740WS,Ryzen 7 Octa Core,Windows 11 Home,512,16,35.56,Yes,779.88
85,HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,521.88
86,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
87,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
88,ASUS,E1504FA-LK521WS,Ryzen 5 Quad Core,Windows 11 Home,512,8,39.62,No,551.88
89,ASUS,E1404GA-NK322WS,Core i3,Windows 11 Home,512,8,35.56,No,431.88
90,Infinix,INBook Y2 Plus,Core i5,Windows 11 Home,512,16,39.62,No,419.88
91,HP,15-fe0027TU,Core i5,Windows 11 Home,512,16,39.62,Yes,1064.28
